"","Id","ChallengeId","BankId","ClientId","ClientBirthDate","Age","ChallengeType","RequestTime","ResponseTime","DecisionTime","Gender","Decision","PhonePrefix","Protocol","AttemptCount","MaxAttemptsReached"
"1","c0fee369-2345-4c2a-a396-da02dccbaa52","3b92e222-2b5c-4c11-a09f-82badaac6d7d","bandit-profit","5fc64739-1feb-47c2-83ae-75edfa0ca712",1954-09-06 19:53:15,87,"ID",2023-01-28 01:37:51.203977,2023-01-28 01:40:31.277258,2023-01-28 01:40:34.183701,"Female","Accepted",NA,NA,3,"FALSE"
"2","6e3bb9bb-e988-47a9-8859-00dd0394bc39","7de02496-6f0f-4fed-a41a-7b93bce8eb89","bandit-picsou","4058a377-e57f-4e8c-a038-de49123beaca",1990-03-13 17:19:29,27,"OTP",2023-02-06 17:16:04.570301,2023-02-06 17:18:29.156828,2023-02-06 17:18:33.176066,"Male","Accepted",NA,NA,1,"FALSE"
"3","1db6166e-f8c3-43f1-9cf9-62bfde4de3b8","2ff4b0d6-b64f-42c2-8b6c-3f4c5da46c36","bandit-picsou","906e7c7a-58ce-4c01-8712-6bf569c88bad",1942-11-17 16:34:49,30,"OTP",2023-01-17 05:37:44.582083,2023-01-17 05:39:42.355805,2023-01-17 05:39:44.876205,"Female","Accepted",NA,NA,2,"FALSE"
"4","4eaf5aeb-901f-4a61-911f-0c38e0b48d9d","fef9abbf-0652-4b58-bc6a-3916669f76e3","bandit-picsou","6c3d905a-7493-4520-bcaa-b22aa205eb3d",1980-01-19 01:38:25,52,"OTP",2023-04-19 08:36:26.965291,2023-04-19 08:38:29.424628,2023-04-19 08:38:32.72414,"Male","Accepted",NA,NA,1,"FALSE"
"5","cde67ab3-c613-46ae-8c78-2ba8cee54633","c4c98578-6644-4f75-a201-b8e75d9b5f4b","bandit-profit","e79d9320-e008-4e98-8590-890f782cf7c7",2005-03-28 17:58:43,60,"SMS",2023-06-04 18:08:35.783182,2023-06-04 18:09:13.294949,2023-06-04 18:09:16.353393,"Female","Refused","+33",NA,4,"TRUE"
"6","93e0d089-2682-4205-9a4a-15be48b6ef72","d66d0a6f-44fb-417d-9d33-a189ab60924b","bandit-donsaluste","e9c8cb04-7614-4781-9a01-cf8f4d287ee3",1948-05-06 03:38:48,28,"SMS",2023-06-11 15:38:03.575025,2023-06-11 15:38:34.568932,2023-06-11 15:38:37.754523,"Male","Refused","+213",NA,1,"FALSE"
"7","41753175-fa01-42b5-b0e1-b71023e31464","8b8efc2f-11d7-46e7-8740-c8fc6448e15d","bandit-donsaluste","528e0650-dcba-4aaa-88c6-ba5a6296cad8",1958-07-18 20:14:48,73,"ID",2023-01-30 08:00:47.019772,2023-01-30 08:04:36.06238,2023-01-30 08:04:39.065588,"Male","Accepted",NA,NA,3,"FALSE"
"8","a1d57ae7-1a33-49c1-8e35-3c21659a8441","20b14f99-eb0c-428d-ace4-14ecf8dbfd41","bandit-profit","1992b04f-f4f0-4a4b-aec7-d87a5110f32f",1975-01-08 04:08:59,64,"OTP",2023-05-29 14:31:20.611127,2023-05-29 14:34:09.482505,2023-05-29 14:34:11.496726,"Female","Accepted",NA,NA,3,"FALSE"
"9","1ccb9e75-35c3-44cc-a77e-1938562abc5d","dd74a3e3-0338-42ae-8a56-4541831c0573","bandit-donsaluste","6164c7c4-c35d-4071-80b5-d6676ee5783b",1986-09-16 12:56:02,55,"SMS",2023-04-10 02:57:31.995903,2023-04-10 02:58:07.392147,2023-04-10 02:58:10.901698,"Male","Refused","+32",NA,4,"TRUE"
"10","21b774a3-acb3-47e1-8176-65d5c7c4c801","5cf64735-9111-4f94-a990-5c932cc84eb8","bandit-picsou","f8af8dd4-dd3a-4afd-bc89-1bd3cd8d36db",1988-10-06 04:41:42,39,"SMS",2023-05-27 19:45:28.012226,2023-05-27 19:45:52.182017,2023-05-27 19:45:55.461529,"Male","Accepted","+33",NA,1,"FALSE"
